Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5,Zrodlo,Pewnosc
FARMAKOKINETYKA,Farmakokinetyka,lekarski,testowe,Jeśli proces eliminacji leku przez nerki jest opisany kinetyką zerowego rzędu to:,Procesy wchłaniania i dystrybucji również opisane są kinetyką zerowego rzędu,Szybkość procesu eliminacji nerkowej jest stała,,,,Stężenie leku w moczu jest odwrotnie proporocjonalne do stężenia leku we krwi,Klirens nerkowy leku jest wprost proporcjonalny do stężeniu leku,,,,EGZ 2017 II termin,srednia
FARMAKOKINETYKA,Farmakokinetyka,lekarski,testowe,Wskaż właściwie zdefiniowane parametry farmakokinetyczne,AUC – pole pod krzywą zmian stężenia leku we krwi w czasie,,,,,T1/2 – czas po którym stężenie leku we krwi jest równe stężeniu leku gdyby biodostępność wynosiła 50%,Tmax – maksymalny czas w którym stężeniu leku we krwi jest wykrywalne,Cmax – stężenie leku we krwi osiągane po podaniu dożylnym,,,EGZ 2017 II termin,srednia
LEKI PRZECIWBAKTERYJNE,Mechanizm działania,lekarski,testowe,Do zwiększenia przepuszczalności bariery krew mózg dla leków dochodzi w przypadku,Zapalenia opon mózgowo-rdzeniowych,Niedokrwienia mózgu,,,,Chorób neurodegeneracyjnych,Chorób autoimmunologicznych,Wskaż prawidłowe połączenie antybiotyk – mechanizm działania,,,EGZ 2017 II termin,niska
LEKI PRZECIWBAKTERYJNE,Mechanizm działania,lekarski,testowe,Azytromycyna,Kumuluje się w makrofagach,Ma długi okres półtrwania,,,,Słabo wchłania się z PP,Hamuje enzymy cytochromu P-450,,,,EGZ 2017 II termin,niska
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,lekarski,testowe,Działanie ototoksyczne wskazują,Salicylany,Aminoglikozydy,,,,Glitazony,Penicyliny,,,,EGZ 2017 II termin,srednia
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W leczeniu boreliozy można użyć,Amoksycyliny,Cefuroksymu aksetylu,Azytromycyny,Doksycykliny,,,,,,,EGZ 2017 II termin,wysoka
LEKI PRZECIWBAKTERYJNE,Mechanizm działania,lekarski,testowe,Syntezę ściany komórkowej hamuje,Imipenem,Wankomycyna,,,,Erytromycyna,Mupirocyna,,,,EGZ 2017 II termin,wysoka
LEKI PRZECIWBAKTERYJNE,Interakcje,lekarski,testowe,Reakcje disulfiramową może spowodować spożycie alkoholu podczas terapii,Metronidazol,,,,,Klindamycyną,Piperalicyna,Cyprofloksacyna,,,EGZ 2017 II termin,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W zakażeniach Mycoplasama pneumoniae można zastosować,Doksycykline,Klarytromycyne,,,,Amoksycyline,Ceftriakson,,,,EGZ 2017 II termin,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Makrolidy mogą być skuteczne w zakażeniach,H. influenza,L. pneumophila,H. pylori,T. gondi,,,,,,,EGZ 2017 II termin,srednia
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W zakazeniu Clostridium diff. skuteczne sa:,Metronidazol,Wankomycyna,,,,Amoksycylina,Klindamycyna,,,,EGZ 2017 II termin,wysoka
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Na MRSA działa,Wankomycyna,Linezolid,,,,Cefazolina,Meropenem,,,,EGZ 2017 II termin,wysoka
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,lekarski,testowe,Kolistyna,Działa nefrotoksycznie,,,,,Działa głównie na bakterie Gram+,Dobrze wchłania się po podaniu PO,Jest wydalana głównie z kałem,,,EGZ 2017 II termin,niska
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Zagrożenia dla płodu jest mało prawdopodobne po,Amoksycyliny z kwasem klawulanowym,Erytromycyny,Cefuroksymu,,,Amikacyny,,,,,EGZ 2017 II termin,wysoka
LEKI PRZECIWGRZYBICZE,Działania niepożądane,lekarski,testowe,Ketokonazol,Jest dostępny w postaci szamponu,Ma zostosowanie w zespole Cushinga,Wykazuje działanie hepatotoksyczne,,,Nie wchłania się po podaniu doustnym,,,,,EGZ 2017 II termin,niska
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Do leków i rzutu w gruźlicy należy,Ryfampicyna,Izoniazyd,Pyryzynamid,,,Kanamycna,,,,,EGZ 2017 II termin,wysoka
UKŁAD POKARMOWY,Klasyfikacja,lekarski,testowe,Podczas stosowania morfiny nie rozwija się tolerancja na TYLKO NA TE!!!,Zaparcia,Zwężenie źrenic,,,,Wymioty,Depresję oddechową,,,,EGZ 2017 II termin,srednia
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Sposób podania,lekarski,testowe,W farmakoterapii silnego bólu przebijającego stosujemy,Morfinę doustnie w dawkach ratunkowych,Fentanyl w postaci dopoliczkowej,Buprenorfinę podjęzykowo,Fentanyl w postaci donosowej,,,,,,,EGZ 2017 II termin,wysoka
UKŁAD POKARMOWY,Klasyfikacja,lekarski,testowe,Ośrodkowe działania opioidów obejmują,Działanie przeciwkaszlowe,Wymioty,,,,Zwiększenie ciśnienia w drogach żółciowych,Zaparcia,,,,EGZ 2017 II termin,srednia
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Klasyfikacja,lekarski,testowe,Efekt pułapowy wykazuje,Buprenorfina,,,,,Morfina,Kodeina,Metadon,,,EGZ 2017 II termin,wysoka
CUKRZYCA,Działania niepożądane,lekarski,testowe,Metformina,Zaburza wchłanianie witaminy B12,Może powodować kwasicę metaboliczną,,,,Stymuluje wydzielanie insuliny,Powoduje przyrost masy ciała,,,,EGZ 2017 II termin,srednia
CUKRZYCA,Klasyfikacja,lekarski,testowe,Szybkie analogi insuliny,Lispro,Aspart,,,,Glargina,Detemir,,,,EGZ 2017 II termin,niska
ANTYKONCEPCJA,Działania niepożądane,lekarski,testowe,Działania niepożądane hormonalnych środków antykoncepcyjnych z powodu obecności gestagenu,Przyrost masy ciała,Obniżenie libido,Depresja,Hirsutyzm,,,,,,,EGZ 2017 II termin,srednia
HORMONY PŁCIOWE,Klasyfikacja,lekarski,testowe,Hiperprolaktynemia,Karbegolina,Bromokryptyna,,,,Gorserelina,Finasteryd,,,,EGZ 2017 II termin,niska
CUKRZYCA,Sposób podania,lekarski,testowe,Terapia cukrzycy typu 2 podskórnie,Detemir,,,,,Glipizyd,Liraglutyd,Linagliptyna,,,EGZ 2017 II termin,wysoka
TARCZYCA,Klasyfikacja,lekarski,testowe,Terapia nadczynności tarczycy,Jod radioaktywny,Bisoprolol,Tiamazol,Propylotiouracyl,,,,,,,EGZ 2017 II termin,wysoka
LEKI IMMUNOSUPRESYJNE,Działania niepożądane,lekarski,testowe,Cyklosporyna,Jest eliminowana przez wątrobę,Jest stosowana w celu zapobiegania odrzucania przeszczepów,,,,Jest aktywatorem kalcyneuryny,Może powodować atrofię dziąseł,,,,EGZ 2017 II termin,wysoka
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Podczas terapii GKS może dojsć do pogorszenia przebiegu,Cukrzycy,Gruźlicy,Osteoporozy,,,Małopłytkowości idiopatycznej,,,,,EGZ 2017 II termin,niska
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Działania niepożądane,lekarski,testowe,Wzrostu ryzyka sercowo-naczyniowego NIE powoduje,Kwas acetylosalicylowy,,,,,Celekoksyb,Indometacyna,Ketoprofen,,,EGZ 2017 II termin,wysoka
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Działania niepożądane,lekarski,testowe,Zmniejszenie ryzyka gastrotoksyczności NLPZ – co możemy,Analogi PGE1,IPP,,,,GKS,Preparaty o wybiórczym powinowactwie do COX1,,,,EGZ 2017 II termin,srednia
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Działania niepożądane,lekarski,testowe,Paracetamol,Jest metabolizowany przez enzymy cytochromu P-450,,,,,Działa silnie przeciwzapalnie,Hamuje COX2 w OUN,Wykazuje działanie gastrotoksyczne,,,EGZ 2017 II termin,srednia
LEKI PRZECIWNOWOTWOROWE,Wskazania,lekarski,testowe,Leki immunosupresyjne,Powodują upośledzenie odporności komórkowej,Są lekami o wąskim wskaźniku terapeutycznym,,,,Zapobiegają rozwojowi nowotworów,Znajdują zastosowanie w terapii chorób neurodegeneracyjnych,,,,EGZ 2017 II termin,niska
UKŁAD ODDECHOWY,Wskazania,lekarski,testowe,Wskaż prawidłowe pary lek – wskazanie,Bromoheksyna – astma oskrzelowa,,,,,Acetylocysteina – ostre zapalenie zatok obocznych nosa,Dornaza alfa – sarkoidoza,Ambroksol – infekcyjne zaostrzenie POChP,,,EGZ 2017 II termin,wysoka
UKŁAD WSPÓŁCZULNY,Wskazania,lekarski,testowe,"W celu przerwania ataku duszności Zależy jakiej dusznosći. Duszności przygodnej będą same SABA, jak mamy zaostrzenie astmy to GKS też",Fenoterol,Salbutamol,,,,Salmeterol,Flutikazon,,,,EGZ 2017 II termin,wysoka
UKŁAD ODDECHOWY,Wskazania,lekarski,testowe,Omalizumab,Blokuje łączenie IgE z komórkami tucznymi,Zmniejsza liczbę zaostrzeń astmy,,,,Stosowany jest w astmie o umiarkowanej ciężkości,Zwiększa zapotrzebowanie na GKS,,,,EGZ 2017 II termin,srednia
UKŁAD WSPÓŁCZULNY,Mechanizm działania,lekarski,testowe,Farmakoterapia POChP kategoria A i B,Krótko i długo działające cholinolityki,Krótko i długo działające beta2 adrenomimetyki,,,,GKS,Inhibitory fosfodiesterazy 4,,,,EGZ 2017 II termin,niska
FARMAKOKINETYKA,Mechanizm działania,lekarski,testowe,Omeprazol,Powoduje nieodwracalne zablokowanie pompy protonowej,Jest inhibitorem enzymów cytochromu P-450,,,,Hamuje wydzielanie kwasu solnego przez 6-12h,Jest aktywowany przez pepsynę,,,,EGZ 2017 II termin,srednia
UKŁAD POKARMOWY,Mechanizm działania,lekarski,testowe,Metoklopramid,Jest agonistą receptorów dopaminowych,Działa przeciwwymiotnie,,,,Zmniejsza objawy pozapiramidowe,Zmniejsza stężenie prolaktyny,,,,EGZ 2017 II termin,srednia
UKŁAD POKARMOWY,Mechanizm działania,lekarski,testowe,Przewlekłe zapalenie trzustki z alkoholu,Preparaty enzymów trzustkowych,Leki przeciwbólowe,,,,GKS,Leki przeciwbakteryjne,,,,EGZ 2017 II termin,niska
UKŁAD POKARMOWY,Klasyfikacja,lekarski,testowe,"Chory z encefalopatią wątrobową, możemy",Asparaginian ornityny,Laktuloza,Ryfaksymina,,,Piracetam,,,,,EGZ 2017 II termin,srednia
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Schematy eradykacji H. Pylori (rekomendowane),Pantoprazol/cytrynian bizmutu/tetracyklina/metronidazol,,,,,Cytrynian bizmutu/metronidazol,Mizoprostol/metronidazol/klarytromycyna,Ranitydyna/amoksycylina/metronidazol,,,EGZ 2017 II termin,wysoka
HEMOSTAZA,Klasyfikacja,lekarski,testowe,"Lek przeciwzakrzepowy – czas odstawienia (planowa, duże ryzyko krwawienia, nerki prawidłowe)",Dabigatran – 1 dzień,,,,,Warfaryna – 2 dni,Acenokumarol – 10 dni,Kwas acetylosalicylowy – 5 dni,,,EGZ 2017 II termin,wysoka
HEMOSTAZA,Monitorowanie,lekarski,testowe,Lek – monitorowanie,Heparyna niefrakcjonowana – APTT,,,,,Dabigatran – INR,Acenokumarol – czas ekarynowy,Rywaroksaban – czas trombinowy,,,EGZ 2017 II termin,wysoka
HEMOSTAZA,Mechanizm działania,lekarski,testowe,Działanie antyagregacyjne,Antagoniści receptorów P2Y12,,,,,Agoniści receptorów GP IIb/IIIa,Inhibitory COX2,Agoniści receptorów TXA2,,,EGZ 2017 II termin,srednia
HEMOSTAZA,Klasyfikacja,lekarski,testowe,Zahamowanie agregacji płytek zależne od ADP po,Klopidogrelu,Tikagreloru,,,,Enoksaparyny,Dipyridamolu,,,,EGZ 2017 II termin,wysoka
LEKI HIPOLIPEMIZUJĄCE,Klasyfikacja,lekarski,testowe,Statyny,Zmniejszają stężenie cholesterolu LDL,Zmniejszą stężenie triglicerydów,,,,Nie wpływają na stężenie cholesterolu wewnątrzkomórkowego,Zmniejszają stężęnie cholesterolu HDL,,,,EGZ 2017 II termin,srednia
LEKI HIPOLIPEMIZUJĄCE,Klasyfikacja,lekarski,testowe,Wielokierunkowe działanie statyn,Poprawę funkcji śródbłonka,Efekt przeciwzapalny,Wpływ na fibrynolizę,Stabilizację blaszki miażdżycowej,,,,,,,EGZ 2017 II termin,niska
CUKRZYCA,Klasyfikacja,lekarski,testowe,Farmakoterapia otyłości,Liraglutyd,Orlistat,,,,Paroksetyna,Naltrekson,,,,EGZ 2017 II termin,niska
UKŁAD WSPÓŁCZULNY,Klasyfikacja,lekarski,testowe,Do beta adrenolityków zmniejszających śmiertelność w skurczowej niewydolności serca,Nebiwolol,,,,,Atenolol,Esmolol,Acebutolol,,,EGZ 2017 II termin,wysoka
CHOROBA NIEDOKRWIENNA SERCA,Klasyfikacja,lekarski,testowe,Donory NO,Nikorandil,Molsidomina,Diazontanizosorbitol,,,Trimetazydyna,,,,,EGZ 2017 II termin,srednia
UKŁAD WSPÓŁCZULNY,Mechanizm działania,lekarski,testowe,Leki I wyborou w monoterapii NT,Antagoniści receptora angiotensynowego,Antagoniści kanałów wapniowych,,,,Alfa1 adrenolityki,Inhibitory reniny,,,,EGZ 2017 II termin,niska
LEKI MOCZOPĘDNE,Mechanizm działania,lekarski,testowe,Zmniejszenie śmiertnelności w skurczowej niewydolności serca,Inhibitory konwertazy angiotensyny,Antagoniści aldosteronu,,,,Waptany,Diuretyki pętlowe,,,,EGZ 2017 II termin,srednia
NADCIŚNIENIE TĘTNICZE,Interakcje,lekarski,testowe,Przeciwskane jest jednoczesne stosowanie beta adrenolityków i,Werapamilu,,,,,Kaptoprylu,Torasemidu,Irbesartanu,,,EGZ 2017 II termin,srednia
NADCIŚNIENIE TĘTNICZE,Klasyfikacja,lekarski,testowe,Stan kliniczny – lek nadciśnieniowy,Mikroalbuminuria – peryndopryl,Tętniak aorty – bisoprolol,Ciąża – metyldopa,Chory po 80 rż. – indapamid,,,,,,,EGZ 2017 II termin,wysoka
NIEWYDOLNOŚĆ SERCA,Klasyfikacja,lekarski,testowe,Inotropowe dodatnie,Lewosymendan,Milrinon,,,,Nesirytyd,Sakubitryl,,,,EGZ 2017 II termin,wysoka
NADCIŚNIENIE TĘTNICZE,Interakcje,lekarski,testowe,Skojarzenia leków w nadciśnieniu,Inhibitor konwertazy angiotensyny + diuretyk tiazydowy,Inhibitor konwertazy angiotensyny + antagonista wapnia,Diuretyk tiazydowy + antagonista wapnia,,,Sartan + inhibitor konwertazy angiotensyny,,,,,EGZ 2017 II termin,wysoka
ZABURZENIA RYTMU SERCA,Klasyfikacja,lekarski,testowe,Amlodypina – działanie,Zmniejszające opór obwodowy,,,,,Chronotropowe dodatnie,Inotropowe ujemne,Dromotropowe ujemne,,,EGZ 2017 II termin,srednia
ZABURZENIA RYTMU SERCA,Klasyfikacja,lekarski,testowe,Dławica naczynioskurczowa (Prinzmetala),Diltiazem,Werapamil,,,,Atenolol,Prazosyna,,,,EGZ 2017 II termin,srednia
NADCIŚNIENIE TĘTNICZE,Klasyfikacja,lekarski,testowe,Hiperkaliemia przy stosowaniu,Kaptoprylu,Amilorlydu,,,,Torasemidu,Hydrochlortiazydu,,,,EGZ 2017 II termin,srednia
HEMOSTAZA,Klasyfikacja,lekarski,testowe,OZW – postepowanie,Furasemidu i.m,"Tikaglerolu p.o Klopidogrel bardziej, ale powiedzmy ze tak",Morfiny s.c,Kwasu acetylosalicylowego p.o,,,,,,,EGZ 2017 II termin,niska
ZABURZENIA RYTMU SERCA,Wskazania,lekarski,testowe,Amiodaron ???,Jest stosowany w arytmiach opornych na inne leki,,,,,Działa inotropowo ujemnie,Jest skuteczny wyłącznie w arytmiach komorowych,Jest agonistą kanałów potasowych,,,EGZ 2017 II termin,srednia
LEKI MOCZOPĘDNE,Działania niepożądane,lekarski,testowe,Eplerenon,Selektywnie wiąże się z receptorem dla mineralokortykoidów,,,,,Nie powoduje hiperkaliemii,Jest agonistą receptorów dla androgenów,Powoduje hipernatremię,,,EGZ 2017 II termin,srednia
PADACZKA,Działania niepożądane,lekarski,testowe,TLPD – działania niepożądane,Zwiększenie masy ciała,Obniżenie progu drgawkowego,Suchowść w ustach,Nad lub niedociśnienie tętnicze,,,,,,,EGZ 2017 II termin,niska
PADACZKA,Mechanizm działania,lekarski,testowe,Lek przeciwpadaczkowy – mechanizm,Gabapentyna – nasilenie transmisji GABA,Karbamazepina – blokokowanie kanałów sodowych,Etosuksymid – blokowanie kanałów wapniowych,,,Lamotrygina – pobudzenie synaptycznego uwalniania aminokwasów,,,,,EGZ 2017 II termin,wysoka
LEKI HIPOLIPEMIZUJĄCE,Monitorowanie,lekarski,testowe,Klozapina wymaga monitorowania Wszystkie wymagają LPP,Morfologii,Masy ciała,Lipidogramu,Glikemii,,,,,,,EGZ 2017 II termin,niska
UKŁAD POKARMOWY,Działania niepożądane,lekarski,testowe,Fluoksetyna,Hamuje wychwyt zwrotny serotoniny,,,,,Ma istotny wpływ na układ krążenia,Często powoduje zaparcia,Nie działa na enzymy cytochromu P-450,,,EGZ 2017 II termin,niska
LEKI PRZECIWDEPRESYJNE,Klasyfikacja,lekarski,testowe,"Zespoł serotoninowy – fluoksetyna i… MAO A i = 5-HT, NA, A, DA, tyramina.... MAO B i = DA i 5-HT",Klomipramina,Linezolid,Wenlafaksyna,Moklobemid,,,,,,,EGZ 2017 II termin,wysoka
UKŁAD POKARMOWY,Klasyfikacja,lekarski,testowe,Choroba Wilsona,Siarczan cynku,D-penicylamina,,,,Ropinirol,Siarczan magnezu,,,,EGZ 2017 II termin,niska
PADACZKA,Klasyfikacja,lekarski,testowe,Farmakoterapia bólu neuropatycznego jakiego? :D Tako to wszystkie LPD i przeciwpadaczkowe,Gabapentyna,Amitryptylina,Duloksetyna,,,Ibuprofen,,,,,EGZ 2017 II termin,srednia
UKŁAD WSPÓŁCZULNY,Klasyfikacja,lekarski,testowe,Profilaktyka migreny,Metoprolol,Flunaryzyna,,,,Indometacyna to w hemikranii,Toksyna botulinowa,,,,EGZ 2017 II termin,niska
HEMOSTAZA,Klasyfikacja,lekarski,testowe,Alteplaza,W udarze niedokrwiennym mózgu,,,,,Przed planowaną kardiowersją,W zatorowości płucnej niewysokiego ryzyka,W TIA,,,EGZ 2017 II termin,niska
LEKI HIPOLIPEMIZUJĄCE,Klasyfikacja,lekarski,testowe,Profilaktyka wtórna udaru mózgu,Dipirydamol,Atorwastatyna,Enoksapyrana,Kwas acetylosalicylowy,,,,,,,EGZ 2017 II termin,niska
LEKI PRZECIWBAKTERYJNE,Interakcje,lekarski,testowe,Azytromycyna:,jest stosowana w nierzeżączkowym zapaleniu cewki moczowej,,,,,jest słabo wchłaniana z przewodu pokarmowego,ma bardzo krótki okres półtrwania,istotnie klinicznie hamuje aktywność izoenzymu CYP3A4,,,EGZ 2016 I termin,srednia
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,lekarski,testowe,Do działań niepożądanych doksycykliny zaliczamy:,fotodermatozy,zaburzenia czynności cewek nerkowych wywołane przez jej produkty rozpadu,zapalenie wątroby,zaburzenia rozwoju zębów i kości,,,,,,,EGZ 2016 I termin,niska
LEKI PRZECIWBAKTERYJNE,Sposób podania,lekarski,testowe,Ceftriakson:,należy do cefalosporyn III generacji,może być podawany dożylnie,,,,wykazuje aktywność wobec MRSA,nie wykazuje aktywności wobec Borrelia burgdorferi,,,,EGZ 2016 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Pseudomonas aeruginosa jest wrażliwy na działanie:,kolistyny,tobramycyn,,,,telawancyny,cefazoliny,,,,EGZ 2016 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W terapii empirycznej bakteryjnego zapalenia opon mózgowo-rdzeniowych u osób dorosłych zalecane są:,cefotaksym z wankomycyną,ceftriakson z wankomycyną,,,,ampicylina z gentamycyną,ampicylina z deksametazonem,,,,EGZ 2016 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,"Efekt bakteriobójczy zależny od czasu, w którym stężenie leku jest większe od MIC wykazują:",amoksycylina z kwasem klawulanowym,ceftriakson,,,,lewofloksacyna,amikacyna,,,,EGZ 2016 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Mechanizm działania,lekarski,testowe,"Leki przeciwdrobnoustrojowe, których mechanizm działania polega na hamowaniu biosyntezy ściany komórkowej bakterii to:",cefadroksyl,wankomycyna,bacytracyna,,,klindamycyna,,,,,EGZ 2016 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Aktywność przeciwbakteryjną względem Legionella spp. ma:,moksyfloksacyna,azytromycyna,tygecyklina,,,metronidazol,,,,,EGZ 2016 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Jodopowidon znalazł zastosowanie w:,dezynfekcji skóry przed nakłuciem,leczeniu zakażeń pochwy florą mieszaną,profilaktyce zakażeń ran,leczeniu zakażeń błony śluzowej jamy ustnej,,,,,,,EGZ 2016 I termin,niska
LEKI PRZECIWWIRUSOWE,Wskazania,lekarski,testowe,Inhibitory neuraminidazy:,hamują uwalnianie wirusów z zakażonych komórek,można je stosować w leczeniu grypy typu A i B,,,,nie różnią się między sobą pod względem skuteczności i działań niepożądanych,nie są skuteczne w profilaktyce grypy,,,,EGZ 2016 I termin,srednia
LEKI PRZECIWBAKTERYJNE,Interakcje,lekarski,testowe,Cyprofloksacyna:,ma efekt działania zależny od skumulowanej ekspozycji,jest stosowana w leczeniu empirycznym niepowikłanego ostrego odmiedniczkowego zapalenia nerek,może być podawana dożylnie,,,nie wydłuża odstępu QT,,,,,EGZ 2016 I termin,niska
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,"Leczenie przeciwbakteryjne powinno być zlecone, jeśli w badaniu mikrobiologicznym zostanie stwierdzone:",obecność Escherichia coli w dwóch posiewach krwi obwodowej,brak wzrostu bakterii we krwi u osoby z klinicznymi i radiologicznymi cechami zapalenia płuc,,,,nosicielstwo szczepu alarmowego w przewodzie pokarmowym,trzy gatunki bakterii w posiewie moczu,,,,EGZ 2016 I termin,srednia
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Przeciwinfekcyjna farmakoprofilaktyka medyczna jest zalecana:,w ciężkiej neutropenii trwającej > 7 dni u osób z ostrymi białaczkami,nieszczepionym osobom z grup ryzyka ciężkiego przebiegu choroby po kontakcie z chorym na grypę,,,,po implantacji stentów wieńcowych przez 12 miesięcy,podczas przewlekłego cewnikowania pęcherza moczowego,,,,EGZ 2016 I termin,niska
